"id";"photo";"web_name";"team_code";"status";"code";"first_name";"second_name";"squad_number";"news";"now_cost";"chance_of_playing_this_round";"chance_of_playing_next_round";"value_form";"value_season";"cost_change_start";"cost_change_event";"cost_change_start_fall";"cost_change_event_fall";"in_dreamteam";"dreamteam_count";"selected_by_percent";"form";"transfers_out";"transfers_in";"transfers_out_event";"transfers_in_event";"loans_in";"loans_out";"loaned_in";"loaned_out";"total_points";"event_points";"points_per_game";"ep_this";"ep_next";"special";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element_type";"team";"dato";"navn";"posisjon";"team_navn"
1;"62022.jpg";"Lie";2745;"a";62022;"Andreas";"Lie";1;"";45;NA;NA;"1.1";"4.4";0;0;0;0;FALSE;1;8,4;"5.0";342;1849;63;428;0;0;0;0;20;4;"5.0";"5.0";"5.0";FALSE;360;0;0;0;8;1;0;0;0;18;4;0;1;1;2017-04-21;"Andreas Lie";"Keeper";"AAFK"
2;"124186.jpg";"Vestly Heigre";2745;"a";124186;"Pål";"Vestly Heigre";23;"";44;NA;NA;"0.0";"0.0";-1;-1;1;1;FALSE;0;0,5;"0.0";79;7;10;1;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2017-04-21;"Pål Vestly Heigre";"Keeper";"AAFK"
3;"218658.jpg";"Sødergren";2745;"a";218658;"Sondre";"Sødergren";32;"";40;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;3,5;"0.0";190;49;21;7;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2017-04-21;"Sondre Sødergren";"Keeper";"AAFK"
4;"52335.jpg";"Ramsteijn";2745;"a";52335;"Kaj";"Ramsteijn";6;"";49;NA;NA;"0.4";"1.4";-1;-1;1;1;FALSE;0;1,4;"1.8";228;27;22;5;0;0;0;0;7;2;"1.8";"2.0";"2.0";FALSE;360;0;0;0;8;0;0;0;0;0;1;0;2;1;2017-04-21;"Kaj Ramsteijn";"Forsvar";"AAFK"
5;"64033.jpg";"Lie";2745;"a";64033;"Oddbjørn";"Lie";5;"";44;NA;NA;"0.2";"0.7";-1;-1;1;1;FALSE;0;1,7;"0.8";303;26;43;2;0;0;0;0;3;1;"0.8";"1.0";"1.0";FALSE;240;0;0;0;7;0;0;1;0;0;0;0;2;1;2017-04-21;"Oddbjørn Lie";"Forsvar";"AAFK"
6;"79464.jpg";"Kirkeskov";2745;"a";79464;"Mikkel";"Kirkeskov";2;"";54;NA;NA;"0.4";"1.7";-1;0;1;0;FALSE;0;2,5;"2.3";510;77;42;8;0;0;0;0;9;2;"2.3";"2.0";"2.0";FALSE;360;0;1;0;8;0;0;0;0;0;0;0;2;1;2017-04-21;"Mikkel Kirkeskov";"Forsvar";"AAFK"
7;"98652.jpg";"Mäntylä";2745;"a";98652;"Tero";"Mäntylä";4;"";44;NA;NA;"0.0";"0.0";-1;0;1;0;FALSE;0;0,4;"0.0";106;4;11;1;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2017-04-21;"Tero Mäntylä";"Forsvar";"AAFK"
8;"115929.jpg";"Arnarson";2745;"a";115929;"Adam";"Arnarson";22;"";44;NA;NA;"0.0";"0.0";-1;0;1;0;FALSE;0;1;"0.0";230;3;43;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;117;0;0;0;5;0;0;1;0;0;0;0;2;1;2017-04-21;"Adam Arnarson";"Forsvar";"AAFK"
9;"115978.jpg";"Grétarsson";2745;"a";115978;"Daníel";"Grétarsson";3;"";49;NA;NA;"0.5";"1.8";-1;0;1;0;FALSE;1;0,7;"2.3";204;21;3;16;0;0;0;0;9;8;"3.0";"2.0";"2.0";FALSE;189;1;0;0;4;0;0;0;0;0;0;0;2;1;2017-04-21;"Daníel Grétarsson";"Forsvar";"AAFK"
10;"206921.jpg";"Barstad";2745;"a";206921;"Joakim";"Barstad";37;"";40;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;3,4;"0.0";559;44;86;8;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2017-04-21;"Joakim Barstad";"Forsvar";"AAFK"
11;"218660.jpg";"Valderhaug";2745;"a";218660;"Lars";"Valderhaug";35;"";40;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;1,1;"0.0";141;12;31;1;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2017-04-21;"Lars Valderhaug";"Forsvar";"AAFK"
12;"37417.jpg";"Riise";2745;"a";37417;"Bjørn Helge";"Riise";21;"";59;NA;NA;"0.3";"1.4";-1;0;1;0;FALSE;0;5,5;"2.0";1098;101;140;4;0;0;0;0;8;2;"2.0";"2.0";"2.0";FALSE;330;0;0;0;8;0;0;0;0;0;0;0;3;1;2017-04-21;"Bjørn Helge Riise";"Midtbane";"AAFK"
13;"62026.jpg";"Carlsen";2745;"a";62026;"Fredrik";"Carlsen";8;"";50;NA;NA;"0.9";"3.4";0;0;0;0;FALSE;0;3,2;"4.3";254;1077;59;125;0;0;0;0;17;6;"4.3";"4.0";"4.0";FALSE;336;1;1;1;7;0;0;0;0;0;0;0;3;1;2017-04-21;"Fredrik Carlsen";"Midtbane";"AAFK"
14;"87337.jpg";"Gyasi";2745;"a";87337;"Edwin";"Gyasi";14;"";74;NA;NA;"0.4";"1.6";-1;0;1;0;FALSE;0;4,3;"3.0";938;64;97;9;0;0;0;0;12;5;"3.0";"3.0";"3.0";FALSE;246;0;2;0;7;0;0;0;0;0;0;0;3;1;2017-04-21;"Edwin Gyasi";"Midtbane";"AAFK"
15;"97533.jpg";"Thrandarson";2745;"d";97533;"Aron Elís";"Thrandarson";11;"Skadet";64;NA;NA;"0.5";"2.0";-1;0;1;0;FALSE;0;1;"3.3";235;36;34;6;0;0;0;0;13;8;"3.3";"3.0";"3.0";FALSE;311;0;1;0;8;0;0;0;0;0;3;0;3;1;2017-04-21;"Aron Elís Thrandarson";"Midtbane";"AAFK"
16;"169515.jpg";"Hoff";2745;"a";169515;"Vebjørn";"Hoff";18;"";50;NA;NA;"0.3";"1.2";0;0;0;0;FALSE;0;0,6;"1.5";76;17;7;1;0;0;0;0;6;2;"1.5";"2.0";"2.0";FALSE;273;0;0;0;3;0;0;1;0;0;0;0;3;1;2017-04-21;"Vebjørn Hoff";"Midtbane";"AAFK"
17;"194769.jpg";"Brunstad Fet";2745;"a";194769;"Sondre";"Brunstad Fet";17;"";49;NA;NA;"0.2";"0.8";-1;-1;1;1;FALSE;0;0,2;"1.0";48;6;6;0;0;0;0;0;4;1;"1.3";"1.0";"1.0";FALSE;143;0;0;0;4;0;0;0;0;0;0;0;3;1;2017-04-21;"Sondre Brunstad Fet";"Midtbane";"AAFK"
