"id";"photo";"web_name";"team_code";"status";"code";"first_name";"second_name";"squad_number";"news";"now_cost";"chance_of_playing_this_round";"chance_of_playing_next_round";"value_form";"value_season";"cost_change_start";"cost_change_event";"cost_change_start_fall";"cost_change_event_fall";"in_dreamteam";"dreamteam_count";"selected_by_percent";"form";"transfers_out";"transfers_in";"transfers_out_event";"transfers_in_event";"loans_in";"loans_out";"loaned_in";"loaned_out";"total_points";"event_points";"points_per_game";"ep_this";"ep_next";"special";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element_type";"team";"dato";"navn";"posisjon";"team_navn";"first_team";"solution_full";"utvalgte";"solution_incremental"
51;"81786.jpg";"Andreassen";3376;"a";81786;"Tor Arne";"Andreassen";11;"";50;NA;NA;"0.1";"0.2";0;0;0;0;FALSE;0;0,7;"0.5";42;5;17;2;0;0;0;0;1;1;"0.5";"1.0";"1.0";FALSE;180;0;0;0;6;0;0;1;0;0;0;0;2;3;2017-04-08;"Tor Arne Andreassen";"Forsvar";"FKH";0;0;"ikke valgt";0
52;"179304.jpg";"Stølås";3376;"a";179304;"Alexander";"Stølås";22;"";55;NA;NA;"0.2";"0.4";0;0;0;0;FALSE;0;4,4;"1.0";347;17;178;5;0;0;0;0;2;1;"1.0";"1.0";"1.0";FALSE;180;0;0;0;6;0;0;0;0;0;0;0;2;3;2017-04-08;"Alexander Stølås";"Forsvar";"FKH";0;0;"ikke valgt";0
53;"224083.jpg";"Izuchukwu";3376;"i";224083;"Anthony";"Izuchukwu";15;"Korsbånd - Over sommeren";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,6;"0.0";169;5;109;1;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;2;3;2017-04-08;"Anthony Izuchukwu";"Forsvar";"FKH";0;0;"ikke valgt";0
54;"245578.jpg";"Knudsen";3376;"a";245578;"Fredrik";"Knudsen";4;"";50;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,7;"0.0";61;4;33;1;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;2;3;2017-04-08;"Fredrik Knudsen";"Forsvar";"FKH";0;0;"ikke valgt";0
55;"48513.jpg";"Huseklepp";3376;"a";48513;"Erik";"Huseklepp";10;"";85;NA;NA;"0.4";"0.8";0;0;0;0;FALSE;0;9,9;"3.5";511;140;215;66;0;0;0;0;7;5;"3.5";"4.0";"4.0";FALSE;180;0;1;0;6;0;0;0;0;0;0;0;3;3;2017-04-08;"Erik Huseklepp";"Midtbane";"FKH";0;0;"ikke valgt";0
56;"67242.jpg";"Kiss";3376;"a";67242;"Filip";"Kiss";6;"";80;NA;NA;"0.2";"0.4";0;0;0;0;FALSE;0;2,1;"1.5";182;23;92;10;0;0;0;0;3;2;"1.5";"2.0";"2.0";FALSE;180;0;0;0;6;0;0;1;0;0;0;0;3;3;2017-04-08;"Filip Kiss";"Midtbane";"FKH";0;0;"ikke valgt";0
57;"81788.jpg";"Mæland";3376;"a";81788;"Eirik";"Mæland";13;"";50;NA;NA;"0.3";"0.6";0;0;0;0;FALSE;0;0,8;"1.5";99;24;31;17;0;0;0;0;3;3;"3.0";"2.0";"2.0";FALSE;80;0;0;0;3;0;0;0;0;0;1;0;3;3;2017-04-08;"Eirik Mæland";"Midtbane";"FKH";0;0;"ikke valgt";0
58;"118808.jpg";"Hajradinovic";3376;"a";118808;"Haris";"Hajradinovic";23;"";75;NA;NA;"0.3";"0.5";0;0;0;0;FALSE;0;3,9;"2.0";228;60;117;18;0;0;0;0;4;2;"2.0";"2.0";"2.0";FALSE;180;0;0;0;6;0;0;0;0;0;0;0;3;3;2017-04-08;"Haris Hajradinovic";"Midtbane";"FKH";0;0;"ikke valgt";0
59;"156595.jpg";"Tronstad";3376;"a";156595;"Sondre";"Tronstad";8;"";50;NA;NA;"0.3";"0.6";0;0;0;0;FALSE;0;1,2;"1.5";83;33;35;18;0;0;0;0;3;2;"1.5";"2.0";"2.0";FALSE;146;0;0;0;5;0;0;0;0;0;0;0;3;3;2017-04-08;"Sondre Tronstad";"Midtbane";"FKH";0;0;"ikke valgt";0
60;"208396.jpg";"Kling";3376;"a";208396;"Robert";"Kling";29;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,8;"0.0";44;12;18;4;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2017-04-08;"Robert Kling";"Midtbane";"FKH";0;0;"ikke valgt";0
61;"226887.jpg";"Horneland";3376;"a";226887;"Thomas";"Horneland";30;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,4;"0.0";28;9;13;3;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2017-04-08;"Thomas Horneland";"Midtbane";"FKH";0;0;"ikke valgt";0
62;"232031.jpg";"Gunnarshaug";3376;"a";232031;"Kristoff";"Gunnarshaug";31;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,3;"0.0";23;4;8;1;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2017-04-08;"Kristoff Gunnarshaug";"Midtbane";"FKH";0;0;"ikke valgt";0
63;"53370.jpg";"Abdi";3376;"a";53370;"Liban";"Abdi";7;"";60;NA;NA;"-0.1";"-0.2";0;0;0;0;FALSE;0;0,6;"-0.5";194;11;73;3;0;0;0;0;-1;0;"-1.0";"0.0";"0.0";FALSE;58;0;0;0;3;0;0;0;1;0;1;0;4;3;2017-04-08;"Liban Abdi";"Angrep";"FKH";0;0;"ikke valgt";0
64;"89368.jpg";"Gytkjær";3376;"a";89368;"Frederik";"Gytkjær";9;"";76;NA;NA;"1.2";"2.4";1;1;-1;-1;TRUE;0;15,6;"9.0";318;2517;79;2238;0;0;0;0;18;12;"9.0";"9.0";"9.0";FALSE;168;3;0;0;5;0;0;1;0;0;3;0;4;3;2017-04-08;"Frederik Gytkjær";"Angrep";"FKH";0;1;"best nå";0
65;"224084.jpg";"Shuaibu";3376;"a";224084;"Ibrahim";"Shuaibu";17;"";51;NA;NA;"2.0";"4.0";1;1;-1;-1;TRUE;1;6,5;"10.0";92;2897;40;2525;0;0;0;0;20;15;"10.0";"10.0";"10.0";FALSE;180;2;2;0;6;0;0;0;0;0;2;0;4;3;2017-04-08;"Ibrahim Shuaibu";"Angrep";"FKH";0;1;NA;1
66;"224097.jpg";"Krygard";3376;"u";224097;"Kevin Martin";"Krygard";NA;"Utilgjengelig";45;0;0;"0.0";"0.0";0;0;0;0;FALSE;0;0,5;"0.0";104;4;42;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;4;3;2017-04-08;"Kevin Martin Krygard";"Angrep";"FKH";0;0;"ikke valgt";0
