"id";"kickoff_time";"kickoff_time_formatted";"team_h_score";"team_a_score";"was_home";"round";"total_points";"value";"transfers_balance";"selected";"transfers_in";"transfers_out";"loaned_in";"loaned_out";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element";"fixture";"opponent_team";"id_player";"dato"
446;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;1;50;-11;427;10;21;0;0;63;0;0;0;1;0;0;1;0;0;0;0;16;9;10;16;2017-04-08
17;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;50;0;172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;5;12;17;2017-04-08
447;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;1;50;-12;169;3;15;0;0;58;0;0;0;3;0;0;0;0;0;0;0;17;9;10;17;2017-04-08
18;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;55;0;430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;5;12;18;2017-04-08
448;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;0;55;-44;408;4;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;9;10;18;2017-04-08
19;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;45;0;460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;5;12;19;2017-04-08
449;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;0;45;-16;488;8;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;9;10;19;2017-04-08
20;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;45;0;481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;5;12;20;2017-04-08
450;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;0;45;-21;499;5;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;9;10;20;2017-04-08
21;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;45;0;139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;5;12;21;2017-04-08
451;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;0;45;-9;146;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;9;10;21;2017-04-08
22;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;6;85;0;7285;0;0;0;0;90;1;0;0;3;0;0;0;0;0;0;0;22;5;12;22;2017-04-08
452;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;2;85;11;7720;350;339;0;0;90;0;0;0;3;0;0;0;0;0;0;0;22;9;10;22;2017-04-08
23;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;50;0;196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;5;12;23;2017-04-08
453;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;0;50;-14;196;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;9;10;23;2017-04-08
24;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;4;60;0;2286;0;0;0;0;45;0;1;0;1;0;0;0;0;0;0;0;24;5;12;24;2017-04-08
454;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;1;60;-116;2391;93;209;0;0;32;0;0;0;0;0;0;0;0;0;0;0;24;9;10;24;2017-04-08
25;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;0;50;0;773;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;7;14;25;2017-04-08
455;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;0;50;-65;758;3;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;15;13;25;2017-04-08
26;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;2;55;0;13971;0;0;0;0;90;0;0;0;1;0;0;0;0;1;0;0;26;7;14;26;2017-04-08
456;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;6;55;-142;14923;171;313;0;0;90;0;0;1;0;0;0;0;0;1;0;0;26;15;13;26;2017-04-08
27;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;0;45;0;191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;7;14;27;2017-04-08
457;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;0;45;-9;202;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;15;13;27;2017-04-08
28;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;0;55;0;5392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;7;14;28;2017-04-08
458;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;5;55;-467;5172;38;505;0;0;80;0;0;1;0;0;0;1;0;0;0;0;28;15;13;28;2017-04-08
29;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;2;55;0;3898;0;0;0;0;90;0;0;0;1;0;0;0;0;0;0;0;29;7;14;29;2017-04-08
459;"2017-04-06T17:00:00Z";"06. apr 19.00";3;0;TRUE;2;6;55;-65;4187;84;149;0;0;90;0;0;1;0;0;0;0;0;0;0;0;29;15;13;29;2017-04-08
30;"2017-04-02T16:00:00Z";"02. apr 18.00";1;1;FALSE;1;1;50;0;4600;0;0;0;0;90;0;0;0;1;0;0;1;0;0;0;0;30;7;14;30;2017-04-08
