"id";"kickoff_time";"kickoff_time_formatted";"team_h_score";"team_a_score";"was_home";"round";"total_points";"value";"transfers_balance";"selected";"transfers_in";"transfers_out";"loaned_in";"loaned_out";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element";"fixture";"opponent_team";"id_player";"dato"
1;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;3;45;0;2980;0;0;0;0;90;0;0;0;3;0;0;0;0;6;0;0;1;5;12;1;2017-04-18
431;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;2;45;162;3567;252;90;0;0;90;0;0;0;3;0;0;0;0;4;0;0;1;9;10;1;2017-04-18
863;"2017-04-09T18:00:00Z";"09. apr 20.00";1;1;FALSE;3;11;45;-35;3614;80;115;0;0;90;0;0;0;1;1;0;0;0;5;3;0;1;21;13;1;2017-04-18
1295;"2017-04-17T16:00:00Z";"17. apr 18.00";3;1;TRUE;4;4;45;1015;5151;1089;74;0;0;90;0;0;0;1;0;0;0;0;3;1;0;1;25;5;1;2017-04-18
2;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;45;0;373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;12;2;2017-04-18
432;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;0;45;-22;373;3;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;10;2;2017-04-18
864;"2017-04-09T18:00:00Z";"09. apr 20.00";1;1;FALSE;3;0;45;-20;356;3;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;21;13;2;2017-04-18
1296;"2017-04-17T16:00:00Z";"17. apr 18.00";3;1;TRUE;4;0;45;-21;337;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;25;5;2;2017-04-18
3;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;40;0;2317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;12;3;2017-04-18
433;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;0;40;-33;2438;21;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9;10;3;2017-04-18
865;"2017-04-09T18:00:00Z";"09. apr 20.00";1;1;FALSE;3;0;40;-39;2427;12;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;21;13;3;2017-04-18
1297;"2017-04-17T16:00:00Z";"17. apr 18.00";3;1;TRUE;4;0;40;-55;2388;9;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;25;5;3;2017-04-18
4;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;1;50;0;1079;0;0;0;0;90;0;0;0;3;0;0;0;0;0;0;0;4;5;12;4;2017-04-18
434;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;1;50;-56;1106;12;68;0;0;90;0;0;0;3;0;0;0;0;0;0;0;4;9;10;4;2017-04-18
866;"2017-04-09T18:00:00Z";"09. apr 20.00";1;1;FALSE;3;3;50;-89;1028;0;89;0;0;90;0;0;0;1;0;0;0;0;0;1;0;4;21;13;4;2017-04-18
1298;"2017-04-17T16:00:00Z";"17. apr 18.00";3;1;TRUE;4;2;50;-39;1000;10;49;0;0;90;0;0;0;1;0;0;0;0;0;0;0;4;25;5;4;2017-04-18
5;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;45;0;1299;0;0;0;0;90;0;0;0;3;0;0;1;0;0;0;0;5;5;12;5;2017-04-18
435;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;1;45;-74;1331;10;84;0;0;90;0;0;0;3;0;0;0;0;0;0;0;5;9;10;5;2017-04-18
867;"2017-04-09T18:00:00Z";"09. apr 20.00";1;1;FALSE;3;1;45;-91;1248;10;101;0;0;36;0;0;0;0;0;0;0;0;0;0;0;5;21;13;5;2017-04-18
1299;"2017-04-17T16:00:00Z";"17. apr 18.00";3;1;TRUE;4;1;45;-71;1185;4;75;0;0;24;0;0;0;1;0;0;0;0;0;0;0;5;25;5;5;2017-04-18
6;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;1;55;0;1932;0;0;0;0;90;0;0;0;3;0;0;0;0;0;0;0;6;5;12;6;2017-04-18
