"id";"photo";"web_name";"team_code";"status";"code";"first_name";"second_name";"squad_number";"news";"now_cost";"chance_of_playing_this_round";"chance_of_playing_next_round";"value_form";"value_season";"cost_change_start";"cost_change_event";"cost_change_start_fall";"cost_change_event_fall";"in_dreamteam";"dreamteam_count";"selected_by_percent";"form";"transfers_out";"transfers_in";"transfers_out_event";"transfers_in_event";"loans_in";"loans_out";"loaned_in";"loaned_out";"total_points";"event_points";"points_per_game";"ep_this";"ep_next";"special";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element_type";"team";"dato";"navn";"posisjon";"team_navn"
16;"169515.jpg";"Hoff";2745;"a";169515;"Vebjørn";"Hoff";18;"";50;NA;NA;"0.3";"1.2";0;0;0;0;FALSE;0;0,6;"1.5";75;16;6;0;0;0;0;0;6;2;"1.5";"2.0";"2.0";FALSE;273;0;0;0;3;0;0;1;0;0;0;0;3;1;2017-04-20;"Vebjørn Hoff";"Midtbane";"AAFK"
17;"194769.jpg";"Brunstad Fet";2745;"a";194769;"Sondre";"Brunstad Fet";17;"";49;NA;NA;"0.2";"0.8";-1;-1;1;1;FALSE;0;0,2;"1.0";47;6;5;0;0;0;0;0;4;1;"1.3";"1.0";"1.0";FALSE;143;0;0;0;4;0;0;0;0;0;0;0;3;1;2017-04-20;"Sondre Brunstad Fet";"Midtbane";"AAFK"
18;"204273.jpg";"Marlinho";2745;"a";204273;"Marlon Matheus";"da Silva";15;"";54;NA;NA;"0.0";"0.0";-1;0;1;0;FALSE;0;0,5;"0.0";133;7;20;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2017-04-20;"Marlon Matheus da Silva";"Midtbane";"AAFK"
19;"207864.jpg";"Hatlehol";2745;"a";207864;"Jørgen";"Hatlehol";38;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,6;"0.0";88;12;13;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2017-04-20;"Jørgen Hatlehol";"Midtbane";"AAFK"
20;"223090.jpg";"Waagan";2745;"a";223090;"Anders";"Waagan";NA;"";44;NA;NA;"0.0";"0.0";-1;-1;1;1;FALSE;0;0,6;"0.0";109;14;14;4;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2017-04-20;"Anders Waagan";"Midtbane";"AAFK"
21;"224095.jpg";"Solnørdal";2745;"a";224095;"Emil";"Solnørdal";36;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,2;"0.0";29;6;2;1;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2017-04-20;"Emil Solnørdal";"Midtbane";"AAFK"
22;"61965.jpg";"Mos";2745;"a";61965;"Mostafa";"Abdellaoue";30;"";85;NA;NA;"0.6";"2.6";0;0;0;0;FALSE;0;10;"5.5";2048;997;177;182;0;0;0;0;22;8;"5.5";"6.0";"6.0";FALSE;360;3;0;0;8;0;0;0;0;0;2;0;4;1;2017-04-20;"Mostafa Abdellaoue";"Angrep";"AAFK"
23;"219005.jpg";"Andreassen";2745;"a";219005;"Sebastian";"Andreassen";31;"";49;NA;NA;"0.0";"0.0";-1;-1;1;1;FALSE;0;0,3;"0.0";49;10;7;2;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;4;1;2017-04-20;"Sebastian Andreassen";"Angrep";"AAFK"
24;"173531.jpg";"Berisha";2745;"a";173531;"Valmir";"Berisha";9;"";59;NA;NA;"0.3";"1.2";-1;0;1;0;FALSE;0;2,6;"1.8";981;142;155;6;0;0;0;0;7;1;"1.8";"2.0";"2.0";FALSE;103;0;1;0;1;0;0;0;0;0;0;0;4;1;2017-04-20;"Valmir Berisha";"Angrep";"AAFK"
25;"88460.jpg";"Horwath";303;"a";88460;"Alex";"Horwath";1;"";49;NA;NA;"0.0";"0.0";-1;0;1;0;FALSE;0;1;"0.0";168;11;10;1;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2017-04-20;"Alex Horwath";"Keeper";"BRA"
26;"95516.jpg";"Leciejewski";303;"a";95516;"Piotr";"Leciejewski";24;"";55;NA;NA;"0.5";"2.2";0;0;0;0;FALSE;0;23,7;"3.0";976;1208;217;52;0;0;0;0;12;2;"3.0";"3.0";"3.0";FALSE;360;0;0;1;3;0;0;0;0;4;0;0;1;2;2017-04-20;"Piotr Leciejewski";"Keeper";"BRA"
27;"224198.jpg";"Pettersen";303;"a";224198;"Markus";"Pettersen";12;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,3;"0.0";30;3;4;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2017-04-20;"Markus Pettersen";"Keeper";"BRA"
28;"56578.jpg";"Wormgoor";303;"a";56578;"Vito";"Wormgoor";3;"";55;NA;NA;"0.4";"1.5";0;0;0;0;FALSE;0;7,7;"2.0";938;393;98;39;0;0;0;0;8;2;"2.7";"2.0";"2.0";FALSE;260;0;0;1;2;0;0;2;0;0;0;0;2;2;2017-04-20;"Vito Wormgoor";"Forsvar";"BRA"
29;"61968.jpg";"Nouri";303;"a";61968;"Amin";"Nouri";33;"";55;NA;NA;"0.5";"2.2";0;0;0;0;FALSE;0;6,7;"3.0";486;522;81;91;0;0;0;0;12;2;"3.0";"3.0";"3.0";FALSE;347;0;0;1;3;0;0;0;0;0;0;0;2;2;2017-04-20;"Amin Nouri";"Forsvar";"BRA"
30;"106319.jpg";"Grønner";303;"a";106319;"Jonas";"Grønner";5;"";49;NA;NA;"0.1";"0.4";-1;0;1;0;FALSE;0;5,6;"0.5";1357;112;278;1;0;0;0;0;2;0;"1.0";"1.0";"1.0";FALSE;100;0;0;0;1;0;0;1;0;0;0;0;2;2;2017-04-20;"Jonas Grønner";"Forsvar";"BRA"
31;"111851.jpg";"Kristiansen";303;"a";111851;"Ruben";"Kristiansen";21;"";55;NA;NA;"0.5";"2.2";0;0;0;0;FALSE;0;4,9;"3.0";342;367;55;48;0;0;0;0;12;2;"3.0";"3.0";"3.0";FALSE;360;0;0;1;3;0;0;0;0;0;0;0;2;2;2017-04-20;"Ruben Kristiansen";"Forsvar";"BRA"
32;"114686.jpg";"Hatakka";303;"u";114686;"Dani";"Hatakka";26;"Utilgjengelig";45;0;0;"0.0";"0.0";0;0;0;0;FALSE;0;0,4;"0.0";191;1;15;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2017-04-20;"Dani Hatakka";"Forsvar";"BRA"
33;"116607.jpg";"Ròlantsson";303;"a";116607;"Gilli";"Sørensen";17;"";61;NA;NA;"0.8";"3.3";1;0;-1;0;FALSE;1;12,4;"5.0";293;3804;81;457;0;0;0;0;20;2;"5.0";"5.0";"5.0";FALSE;333;0;1;2;2;0;0;0;0;0;1;0;2;2;2017-04-20;"Gilli Sørensen";"Forsvar";"BRA"
34;"156592.jpg";"Acosta";303;"a";156592;"Bismar";"Acosta";15;"";60;NA;NA;"0.4";"1.7";0;0;0;0;FALSE;0;11,5;"2.5";977;251;165;30;0;0;0;0;10;1;"2.5";"3.0";"3.0";FALSE;360;0;0;1;3;0;0;2;0;0;0;0;2;2;2017-04-20;"Bismar Acosta";"Forsvar";"BRA"
35;"18668.jpg";"Braaten";303;"a";18668;"Daniel";"Braaten";25;"";65;NA;NA;"0.6";"2.5";0;0;0;0;FALSE;1;6,5;"4.0";985;1066;40;289;0;0;0;0;16;10;"5.3";"4.0";"4.0";FALSE;225;0;2;0;2;0;0;0;0;0;5;0;3;2;2017-04-20;"Daniel Braaten";"Midtbane";"BRA"
36;"62025.jpg";"Larsen";303;"a";62025;"Peter Orry";"Larsen";7;"";74;NA;NA;"0.0";"0.0";-1;0;1;0;FALSE;0;1,6;"0.0";481;14;45;2;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2017-04-20;"Peter Orry Larsen";"Midtbane";"BRA"
37;"95525.jpg";"Haugen";303;"a";95525;"Fredrik";"Haugen";8;"";90;NA;NA;"0.5";"2.1";0;0;0;0;FALSE;0;9,7;"4.8";665;1482;106;263;0;0;0;0;19;5;"4.8";"5.0";"5.0";FALSE;331;0;2;2;2;0;0;0;0;0;3;0;3;2;2017-04-20;"Fredrik Haugen";"Midtbane";"BRA"
38;"95528.jpg";"Barmen";303;"a";95528;"Kristoffer";"Barmen";29;"";65;NA;NA;"0.5";"2.2";0;0;0;0;FALSE;0;7,1;"3.5";617;1585;157;53;0;0;0;0;14;2;"3.5";"4.0";"4.0";FALSE;360;1;0;1;3;0;0;0;0;0;0;0;3;2;2017-04-20;"Kristoffer Barmen";"Midtbane";"BRA"
39;"102678.jpg";"Vega";303;"a";102678;"Deyver";"Vega";19;"";68;NA;NA;"0.1";"0.6";-2;-1;2;1;FALSE;0;3,3;"1.0";1049;36;129;1;0;0;0;0;4;1;"1.3";"1.0";"1.0";FALSE;132;0;0;1;1;0;0;1;0;0;0;0;3;2;2017-04-20;"Deyver Vega";"Midtbane";"BRA"
40;"115102.jpg";"Skaanes";303;"a";115102;"Kasper";"Skaanes";9;"";54;NA;NA;"0.1";"0.4";-1;0;1;0;FALSE;0;1,2;"0.5";355;20;32;1;0;0;0;0;2;1;"1.0";"1.0";"1.0";FALSE;29;0;0;0;1;0;0;0;0;0;0;0;3;2;2017-04-20;"Kasper Skaanes";"Midtbane";"BRA"
41;"126317.jpg";"Heltne Nilsen";303;"a";126317;"Sivert";"Heltne Nilsen";23;"";55;NA;NA;"0.7";"2.7";0;0;0;0;FALSE;0;4,7;"3.8";406;589;32;143;0;0;0;0;15;8;"3.8";"4.0";"4.0";FALSE;360;1;0;1;3;0;0;1;0;0;2;0;3;2;2017-04-20;"Sivert Heltne Nilsen";"Midtbane";"BRA"
42;"223091.jpg";"Stenevik";303;"a";223091;"Halldor";"Stenevik";20;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;1,1;"0.0";187;28;28;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2017-04-20;"Halldor Stenevik";"Midtbane";"BRA"
43;"14575.jpg";"Karadas";303;"a";14575;"Azar";"Karadas";18;"";58;NA;NA;"0.1";"0.2";-2;-1;2;1;FALSE;0;0,9;"0.3";385;24;32;2;0;0;0;0;1;1;"0.5";"0.0";"0.0";FALSE;19;0;0;0;0;0;0;1;0;0;0;0;4;2;2017-04-20;"Azar Karadas";"Angrep";"BRA"
44;"66534.jpg";"Orlov";303;"a";66534;"Jakob";"Orlov";10;"";75;NA;NA;"0.6";"2.4";0;-1;0;1;FALSE;0;6,1;"4.5";1206;1953;749;22;0;0;0;0;18;0;"6.0";"5.0";"5.0";FALSE;169;2;1;2;0;0;0;0;0;0;2;0;4;2;2017-04-20;"Jakob Orlov";"Angrep";"BRA"
45;"221232.jpg";"Skålevik";303;"a";221232;"Steffen";"Skålevik";11;"";68;NA;NA;"0.1";"0.3";-2;-1;2;1;FALSE;0;0,8;"0.5";379;25;53;1;0;0;0;0;2;0;"1.0";"1.0";"1.0";FALSE;30;0;0;0;1;0;0;0;0;0;0;0;4;2;2017-04-20;"Steffen Skålevik";"Angrep";"BRA"
46;"62015.jpg";"Børven";303;"a";62015;"Torgeir";"Børven";22;"";89;NA;NA;"0.6";"2.2";-1;0;1;0;FALSE;1;5,9;"5.0";1764;646;28;511;0;0;0;0;20;13;"5.0";"5.0";"5.0";FALSE;185;2;1;1;3;0;0;0;0;0;3;0;4;2;2017-04-20;"Torgeir Børven";"Angrep";"BRA"
47;"108130.jpg";"Sandvik";3376;"a";108130;"Helge";"Sandvik";12;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,4;"0.0";35;3;5;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2017-04-20;"Helge Sandvik";"Keeper";"FKH"
48;"124132.jpg";"Bråtveit";3376;"a";124132;"Per Kristian";"Bråtveit";1;"";50;NA;NA;"0.7";"2.6";0;0;0;0;FALSE;0;2,7;"3.3";218;161;32;8;0;0;0;0;13;2;"3.3";"3.0";"3.0";FALSE;360;0;0;1;9;0;0;0;0;13;1;0;1;3;2017-04-20;"Per Kristian Bråtveit";"Keeper";"FKH"
49;"209224.jpg";"Børreson Fossdal";3376;"a";209224;"Herman";"Børreson Fossdal";24;"";40;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,9;"0.0";41;26;3;3;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2017-04-20;"Herman Børreson Fossdal";"Keeper";"FKH"
50;"63878.jpg";"Skjerve";3376;"a";63878;"Vegard";"Skjerve";18;"";50;NA;NA;"0.4";"1.4";0;0;0;0;FALSE;0;2,4;"1.8";299;37;35;3;0;0;0;0;7;1;"1.8";"2.0";"2.0";FALSE;360;0;0;1;9;0;0;0;0;0;0;1;2;3;2017-04-20;"Vegard Skjerve";"Forsvar";"FKH"
51;"81786.jpg";"Andreassen";3376;"a";81786;"Tor Arne";"Andreassen";11;"";49;NA;NA;"0.2";"0.6";-1;-1;1;1;FALSE;0;0,6;"0.8";94;9;14;0;0;0;0;0;3;1;"0.8";"1.0";"1.0";FALSE;218;0;0;0;7;0;0;1;0;0;0;0;2;3;2017-04-20;"Tor Arne Andreassen";"Forsvar";"FKH"
52;"179304.jpg";"Stølås";3376;"a";179304;"Alexander";"Stølås";22;"";54;NA;NA;"0.4";"1.7";-1;-1;1;1;FALSE;0;3,9;"2.3";644;52;84;2;0;0;0;0;9;1;"2.3";"2.0";"2.0";FALSE;360;0;0;1;9;0;0;0;0;0;0;0;2;3;2017-04-20;"Alexander Stølås";"Forsvar";"FKH"
53;"224083.jpg";"Izuchukwu";3376;"i";224083;"Anthony";"Izuchukwu";15;"Korsbånd - Over sommeren";44;NA;NA;"0.0";"0.0";-1;0;1;0;FALSE;0;0,5;"0.0";258;6;14;1;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;2;3;2017-04-20;"Anthony Izuchukwu";"Forsvar";"FKH"
54;"245578.jpg";"Knudsen";3376;"a";245578;"Fredrik";"Knudsen";4;"";50;NA;NA;"0.5";"2.0";0;0;0;0;FALSE;0;0,7;"2.5";92;36;12;7;0;0;0;0;10;1;"5.0";"3.0";"3.0";FALSE;180;0;0;1;3;0;0;0;0;0;3;0;2;3;2017-04-20;"Fredrik Knudsen";"Forsvar";"FKH"
55;"48513.jpg";"Huseklepp";3376;"a";48513;"Erik";"Huseklepp";10;"";85;NA;NA;"0.4";"1.8";0;0;0;0;FALSE;0;9,5;"3.8";1170;505;335;32;0;0;0;0;15;2;"3.8";"4.0";"4.0";FALSE;338;0;2;1;8;0;0;0;0;0;0;0;3;3;2017-04-20;"Erik Huseklepp";"Midtbane";"FKH"
56;"67242.jpg";"Kiss";3376;"a";67242;"Filip";"Kiss";6;"";79;NA;NA;"0.2";"0.9";-1;0;1;0;FALSE;0;1,7;"1.8";418;42;60;2;0;0;0;0;7;1;"1.8";"2.0";"2.0";FALSE;360;0;0;1;9;0;0;2;0;0;0;0;3;3;2017-04-20;"Filip Kiss";"Midtbane";"FKH"
57;"81788.jpg";"Mæland";3376;"a";81788;"Eirik";"Mæland";13;"";50;NA;NA;"0.2";"0.6";0;0;0;0;FALSE;0;0,7;"0.8";166;43;10;0;0;0;0;0;3;0;"3.0";"1.0";"1.0";FALSE;80;0;0;0;3;0;0;0;0;0;1;0;3;3;2017-04-20;"Eirik Mæland";"Midtbane";"FKH"
58;"118808.jpg";"Hajradinovic";3376;"a";118808;"Haris";"Hajradinovic";23;"";74;NA;NA;"0.2";"0.9";-1;-1;1;1;FALSE;0;3,2;"1.8";640;78;135;1;0;0;0;0;7;0;"2.3";"2.0";"2.0";FALSE;270;0;0;1;6;0;0;0;0;0;0;0;3;3;2017-04-20;"Haris Hajradinovic";"Midtbane";"FKH"
59;"156595.jpg";"Tronstad";3376;"a";156595;"Sondre";"Tronstad";8;"";50;NA;NA;"0.4";"1.6";0;0;0;0;FALSE;0;1,1;"2.0";157;77;18;10;0;0;0;0;8;2;"2.0";"2.0";"2.0";FALSE;326;0;0;1;8;0;0;0;0;0;0;0;3;3;2017-04-20;"Sondre Tronstad";"Midtbane";"FKH"
60;"208396.jpg";"Kling";3376;"a";208396;"Robert";"Kling";29;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,7;"0.0";108;12;13;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2017-04-20;"Robert Kling";"Midtbane";"FKH"
61;"226887.jpg";"Horneland";3376;"a";226887;"Thomas";"Horneland";30;"";44;NA;NA;"0.0";"0.0";-1;-1;1;1;FALSE;0;0,4;"0.0";60;11;7;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2017-04-20;"Thomas Horneland";"Midtbane";"FKH"
62;"232031.jpg";"Gunnarshaug";3376;"a";232031;"Kristoff";"Gunnarshaug";31;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,3;"0.0";41;6;2;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2017-04-20;"Kristoff Gunnarshaug";"Midtbane";"FKH"
63;"53370.jpg";"Abdi";3376;"a";53370;"Liban";"Abdi";7;"";60;NA;NA;"0.4";"1.7";0;0;0;0;FALSE;0;0,6;"2.5";226;50;4;16;0;0;0;0;10;6;"3.3";"3.0";"3.0";FALSE;222;2;0;1;6;0;0;1;1;0;1;0;4;3;2017-04-20;"Liban Abdi";"Angrep";"FKH"
64;"89368.jpg";"Gytkjær";3376;"a";89368;"Frederik";"Gytkjær";9;"";76;NA;NA;"0.8";"3.3";1;0;-1;0;FALSE;0;18,5;"6.3";1354;4975;660;191;0;0;0;0;25;5;"6.3";"6.0";"6.0";FALSE;330;3;1;1;8;0;0;1;0;0;3;0;4;3;2017-04-20;"Frederik Gytkjær";"Angrep";"FKH"
65;"224084.jpg";"Shuaibu";3376;"a";224084;"Ibrahim";"Shuaibu";17;"";52;NA;NA;"1.3";"5.4";2;0;-2;0;FALSE;1;12,3;"7.0";751;6790;422;446;0;0;0;0;28;2;"7.0";"7.0";"7.0";FALSE;360;3;2;1;9;0;0;0;0;0;2;0;4;3;2017-04-20;"Ibrahim Shuaibu";"Angrep";"FKH"
66;"224097.jpg";"Krygard";3376;"u";224097;"Kevin Martin";"Krygard";NA;"Utilgjengelig";45;0;0;"0.0";"0.0";0;0;0;0;FALSE;0;0,4;"0.0";155;4;12;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;4;3;2017-04-20;"Kevin Martin Krygard";"Angrep";"FKH"
