"id";"photo";"web_name";"team_code";"status";"code";"first_name";"second_name";"squad_number";"news";"now_cost";"chance_of_playing_this_round";"chance_of_playing_next_round";"value_form";"value_season";"cost_change_start";"cost_change_event";"cost_change_start_fall";"cost_change_event_fall";"in_dreamteam";"dreamteam_count";"selected_by_percent";"form";"transfers_out";"transfers_in";"transfers_out_event";"transfers_in_event";"loans_in";"loans_out";"loaned_in";"loaned_out";"total_points";"event_points";"points_per_game";"ep_this";"ep_next";"special";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element_type";"team";"dato";"navn";"posisjon";"team_navn";"team_1";"team_2";"team_now";"solution_full";"solution_incremental";"team_3"
11;"218660.jpg";"Valderhaug";2745;"a";218660;"Lars";"Valderhaug";35;"";40;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;1,2;"0.0";89;10;13;3;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2017-04-10;"Lars Valderhaug";"Forsvar";"AAFK";0;0;0;0;0;0
12;"37417.jpg";"Riise";2745;"a";37417;"Bjørn Helge";"Riise";21;"";60;NA;NA;"0.3";"1.0";0;0;0;0;FALSE;0;6;"2.0";756;90;125;5;0;0;0;0;6;2;"2.0";"2.0";"2.0";FALSE;240;0;0;0;7;0;0;0;0;0;0;0;3;1;2017-04-10;"Bjørn Helge Riise";"Midtbane";"AAFK";0;0;0;0;0;0
13;"62026.jpg";"Carlsen";2745;"a";62026;"Fredrik";"Carlsen";8;"";50;NA;NA;"0.7";"2.2";0;0;0;0;FALSE;0;2,8;"3.7";141;763;45;108;0;0;0;0;11;2;"3.7";"4.0";"4.0";FALSE;270;1;0;0;7;0;0;0;0;0;0;0;3;1;2017-04-10;"Fredrik Carlsen";"Midtbane";"AAFK";0;0;0;0;0;0
14;"87337.jpg";"Gyasi";2745;"a";87337;"Edwin";"Gyasi";14;"";75;NA;NA;"0.3";"0.9";0;0;0;0;FALSE;0;4,8;"2.3";603;42;135;6;0;0;0;0;7;1;"2.3";"2.0";"2.0";FALSE;170;0;1;0;6;0;0;0;0;0;0;0;3;1;2017-04-10;"Edwin Gyasi";"Midtbane";"AAFK";0;0;0;0;0;0
15;"97533.jpg";"Thrandarson";2745;"a";97533;"Aron Elís";"Thrandarson";11;"";64;NA;NA;"0.3";"0.8";-1;-1;1;1;FALSE;0;1,1;"1.7";164;21;24;0;0;0;0;0;5;2;"1.7";"2.0";"2.0";FALSE;238;0;0;0;7;0;0;0;0;0;0;0;3;1;2017-04-10;"Aron Elís Thrandarson";"Midtbane";"AAFK";0;0;0;0;0;0
16;"169515.jpg";"Hoff";2745;"a";169515;"Vebjørn";"Hoff";18;"";50;NA;NA;"0.3";"0.8";0;0;0;0;FALSE;0;0,6;"1.3";54;14;7;1;0;0;0;0;4;2;"1.3";"1.0";"1.0";FALSE;183;0;0;0;2;0;0;1;0;0;0;0;3;1;2017-04-10;"Vebjørn Hoff";"Midtbane";"AAFK";0;0;0;0;0;0
17;"194769.jpg";"Brunstad Fet";2745;"a";194769;"Sondre";"Brunstad Fet";17;"";50;NA;NA;"0.2";"0.6";0;0;0;0;FALSE;0;0,2;"1.0";32;5;5;0;0;0;0;0;3;2;"1.5";"1.0";"1.0";FALSE;126;0;0;0;4;0;0;0;0;0;0;0;3;1;2017-04-10;"Sondre Brunstad Fet";"Midtbane";"AAFK";0;0;0;0;0;0
18;"204273.jpg";"Marlinho";2745;"a";204273;"Marlon Matheus";"da Silva";15;"";54;NA;NA;"0.0";"0.0";-1;-1;1;1;FALSE;0;0,5;"0.0";99;6;11;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2017-04-10;"Marlon Matheus da Silva";"Midtbane";"AAFK";0;0;0;0;0;0
19;"207864.jpg";"Hatlehol";2745;"a";207864;"Jørgen";"Hatlehol";38;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,7;"0.0";59;11;7;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2017-04-10;"Jørgen Hatlehol";"Midtbane";"AAFK";0;0;0;0;0;0
20;"223090.jpg";"Waagan";2745;"a";223090;"Anders";"Waagan";NA;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,7;"0.0";70;8;11;1;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2017-04-10;"Anders Waagan";"Midtbane";"AAFK";0;0;0;0;0;0
21;"224095.jpg";"Solnørdal";2745;"a";224095;"Emil";"Solnørdal";36;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,2;"0.0";22;4;1;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2017-04-10;"Emil Solnørdal";"Midtbane";"AAFK";0;0;0;0;0;0
22;"61965.jpg";"Mos";2745;"a";61965;"Mostafa";"Abdellaoue";30;"";85;NA;NA;"0.6";"1.6";0;0;0;0;FALSE;0;9,9;"4.7";1660;473;146;76;0;0;0;0;14;6;"4.7";"5.0";"5.0";FALSE;270;2;0;0;7;0;0;0;0;0;0;0;4;1;2017-04-10;"Mostafa Abdellaoue";"Angrep";"AAFK";0;0;0;0;0;0
23;"219005.jpg";"Andreassen";2745;"a";219005;"Sebastian";"Andreassen";31;"";50;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,3;"0.0";35;5;3;1;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;4;1;2017-04-10;"Sebastian Andreassen";"Angrep";"AAFK";0;0;0;0;0;0
